service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"MF15-37-512-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF15-53-402-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF15-53-404-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-57-V20-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-57-V30-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-57-V83-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-57-V85-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-57-V87-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-57-V89-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-57-V91-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-57-V92-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-57-V93-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-57-W80-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-57-W81-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-57-W82-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-57-W83-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-57-W85-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-57-W86-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-57-W88-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-58-G01-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-58-G10-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-58-G11-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-58-G12-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-58-G19-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-58-G20-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-58-G22-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-58-G23-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-58-G24-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-58-G25-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-58-G43-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-59-10B-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-59-11B-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-59-12B-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-59-13B-aus","1","1","1","1","1","0","0","20251201","20260301"
